"url","NAME","Time","Location","Location_link","Cate"
"http://www.accupass.com/go/Sanyuan2016fall","Sanyuan Idol Comedy Show Taiwan 2016 Fall","2016-11-25(Fri) 18:30 ~ 2016-11-27(Sun) 21:30 (GMT+8)","台北市萬華區西寧南路177號","http://maps.google.com/maps?q=25.0421875,121.5061323&sll=25.0421875,121.5061323","Entertainment"
"http://www.accupass.com/go/illuClassFeeling1126","illuClass│插畫入門 - 手繪x電繪","2016-11-26(Sat) 19:00 ~ 2016-11-26(Sat) 21:00 (GMT+8)","台北市萬華區康定路43號2樓; 插畫人基地F","http://maps.google.com/maps?q=25.0413667,121.50236040000004&sll=25.0413667,121.50236040000004; https://www.facebook.com/illustrationbase","Education"
"http://www.accupass.com/event/register/1610030332182042733294","第九屆亞洲有機樂活產業展 有機樂活美食街 3000個綠行動","2016-11-25(Fri) 11:00 ~ 2016-11-27(Sun) 14:00 (GMT+8)","台北市信義路五段五號一樓; 亞洲有機樂活展粉絲專頁","http://maps.google.com/maps?q=25.0332591,121.562324&sll=25.0332591,121.562324; https://www.facebook.com/AsiaOrganicLOHASProductExpo/","Food"
"http://www.accupass.com/go/spacecyclelivedj","SPACE CYCLE 週末夜。現場Live DJ 音樂飛輪派對","","","",""
"http://www.accupass.com/go/spacecyclelivedj","Let's party on the bike! 場次介紹","2016-11-25(Fri) 07:00 ~ 2016-12-30(Fri) 23:00 (GMT+8)","台北市忠孝東路四段200號13樓; SPACE CYCLE 官方網站","http://maps.google.com/maps?q=25.0412324,121.55201369999996&sll=25.0412324,121.55201369999996; http://spacecycle.com/","Sports"
"http://www.accupass.com/event/register/1610060848341549037867","天地人學堂：打造文案行銷力，6小時構建屬於你的商品文案 #3","2016-11-27(Sun) 10:00 ~ 2016-11-27(Sun) 17:00 (GMT+8)","台北市中正區齊東街74號（天地人文創）; 天地人文創","http://maps.google.com/maps?q=25.0417491,121.5276814&sll=25.0417491,121.5276814; http://tiandiren.tw/","Education"
"http://www.accupass.com/event/register/1610090549452015379367","對面的新創看過來~ StartUp必學募資簡報技巧","","","",""
"http://www.accupass.com/event/register/1610090549452015379367","SEO四說新語︱從經典中學習SEO; UI & UX 使用者經驗設計入門 (周末密集班); 別跟錢過不去︱新手創業生存須知 - 稅務財務會計入門","2016-11-21(Mon) 19:00 ~ 2016-11-21(Mon) 22:00 (GMT+8)","台北市八德路四段123號3樓","http://maps.google.com/maps?q=25.0488463,121.56171029999996&sll=25.0488463,121.56171029999996","Education"
"http://www.accupass.com/go/games2016","臺灣遊戲產業國際趨勢研討會","2016-11-22(Tue) 09:30 ~ 2016-11-22(Tue) 12:30 (GMT+8)","台北市信義區信義路五段5號2樓4~5會議室","http://maps.google.com/maps?q=25.0332591,121.562324&sll=25.0332591,121.562324","Business"
"http://www.accupass.com/go/meetvip2017","創業小聚超級好友優惠【2017年9場小聚套票預購】","2016-11-22(Tue) 16:00 ~ 2017-02-14(Tue) 23:59 (GMT+8)","YourSpace","http://maps.google.com/maps?q=25.0435203,121.5574173&sll=25.0435203,121.5574173","Business"
"http://www.accupass.com/go/funtaipei9","FuckUp Nights Taipei 搞砸之夜 #9 設計搞砸","2016-11-25(Fri) 19:00 ~ 2016-11-25(Fri) 21:30 (GMT+8)","台北市八德路一段1號; FuckUp Nights Taipei 搞砸之夜粉絲頁","http://maps.google.com/maps?q=25.0253124,121.54410899999992&sll=25.0253124,121.54410899999992; https://www.facebook.com/fckupnightstpe/","Business"
"http://www.accupass.com/event/register/1611270555141013537470","​性愛關係－系列工作坊","2016-11-27(Sun) 13:00 ~ 2017-01-21(Sat) 15:00 (GMT+8)","台北市中正區愛國西路1號","http://maps.google.com/maps?q=25.0356043,121.51429529999996&sll=25.0356043,121.51429529999996","Education"
"http://www.accupass.com/go/20161123math","財報與戰略性數字分析【用數字做決策】","2016-11-23(Wed) 09:30 ~ 2016-11-23(Wed) 16:30 (GMT+8)","台大法學院霖澤館(辛亥路、復興南路口); 用數字做決策 活動網頁","http://maps.google.com/maps?q=25.020509,121.5436459&sll=25.020509,121.5436459; http://edm.managertoday.com.tw/20161123math","Education"
"http://www.accupass.com/go/nextlink_1124","資安防護再升級．雲端服務大躍進 | AWS x Radware 11/24(四) Nextlink 資安論壇","2016-11-24(Thu) 13:30 ~ 2016-11-24(Thu) 16:00 (GMT+8)","台北市信義區松高路18號","http://maps.google.com/maps?q=25.0765043,121.57234240000004&sll=25.0765043,121.57234240000004","Technology"
"http://www.accupass.com/go/authan","illuClass｜為設計加分的電繪課","2016-11-25(Fri) 19:30 ~ 2016-11-25(Fri) 21:30 (GMT+8)","台北市萬華區康定路43號2樓; 插畫人基地FB","http://maps.google.com/maps?q=25.0413667,121.50236040000004&sll=25.0413667,121.50236040000004; https://www.facebook.com/illustrationbase/","Education"
"http://www.accupass.com/go/muzikbc1701","《交響曲大作戰》2017謬斯客學院全新古典音樂進階課程","","","",""
"http://www.accupass.com/go/muzikbc1701","【課程資訊】; ★交響曲的發展─探討交響曲的歷史發展與理論; ★交響曲的實作─走進音樂廳、領進交響曲; 【活動單位】; 【報名資訊】","2016-11-23(Wed) 12:00 ~ 2017-01-18(Wed) 00:00 (GMT+8)","台北市瑞光路583巷30號7樓","http://maps.google.com/maps?q=25.0807529,121.56833899999992&sll=25.0807529,121.56833899999992","Education"
"http://www.accupass.com/go/Edwin_broadway2","《聽Edwin說百老匯》暖心樂舞音樂劇講座","2016-11-27(Sun) 14:00 ~ 2016-12-18(Sun) 17:00 (GMT+8)","台北市松山區光復北路100巷11號B1","http://maps.google.com/maps?q=25.0506418,121.55697970000006&sll=25.0506418,121.55697970000006","Arts"
"http://www.accupass.com/go/HBR03","跟著哈佛修練職場好關係","2016-11-25(Fri) 19:30 ~ 2016-11-25(Fri) 21:30 (GMT+8)","台北市松山區復興北路365號3樓","http://maps.google.com/maps?q=25.061033,121.544622&sll=25.061033,121.544622","Education"
"http://www.accupass.com/event/register/1609090810531539700750","尋找天賦與熱情的系統化做法","2016-11-24(Thu) 18:30 ~ 2016-11-24(Thu) 21:30 (GMT+8)","台北市羅斯福路4段85號B1【集思台大會議中心】; 講座介紹","http://maps.google.com/maps?q=25.0130396,121.53678779999996&sll=25.0130396,121.53678779999996; http://www.projectup.net/blog/index.php?option=com_content&view=article&id=13680%3Alspeech03&catid=26%3Ajbspeach&Itemid=78","Education"
"http://www.accupass.com/go/seiroot1126","社企流草地學院：用社會設計翻轉喵星人的未來","","","",""
"http://www.accupass.com/go/seiroot1126","","2016-11-26(Sat) 09:00 ~ 2016-11-26(Sat) 17:30 (GMT+8)","頂溪捷運站1號出口集合","http://maps.google.com/maps?q=25.0240379,121.52432&sll=25.0240379,121.52432","Education"
"http://www.accupass.com/event/register/1610270618221317698875","痞客邦PIXNET 第三屆金點賞系列講座","","","",""
"http://www.accupass.com/event/register/1610270618221317698875","金點賞系列講座; 實現內容 創造價值","2016-11-26(Sat) 09:00 ~ 2016-11-26(Sat) 18:00 (GMT+8)","台北市內湖區堤頂大道二段207號","http://maps.google.com/maps?q=25.0778968,121.56786740000008&sll=25.0778968,121.56786740000008","Education"
"http://www.accupass.com/go/TheSchoolofLife","一場意料之外的開放對話 - 【人生學校】","2016-11-26(Sat) 14:30 ~ 2016-11-26(Sat) 16:00 (GMT+8)","台北市信義區松高路11號6樓; 客服專線 (02)2306-6600#8244","http://maps.google.com/maps?q=25.0397197,121.56587390000004&sll=25.0397197,121.56587390000004; https://www.facebook.com/bigclub.friends/","Education"
"http://www.accupass.com/go/2016WSDC","全球泛華青年劇本創作競賽－第二屆得獎作品讀劇藝術節","2016-11-24(Thu) 19:30 ~ 2016-11-26(Sat) 19:30 (GMT+8)","台北市士林區文林路751號; 國立中央大學黑盒子表演藝術中心","http://maps.google.com/maps?q=25.1032438,121.51952040000003&sll=25.1032438,121.51952040000003; http://theatre.ncu.edu.tw/","Arts"
"http://www.accupass.com/go/UU161125","當地球人遇到小王子－聽見系列：宮能安＆余羽緹","2016-11-25(Fri) 20:30 ~ 2016-11-25(Fri) 22:00 (GMT+8)","台北市民生東路二段107號三樓; 樂悠悠之口Facebook粉絲頁","http://maps.google.com/maps?q=25.0580804,121.53124430000004&sll=25.0580804,121.53124430000004; https://www.facebook.com/UUmouth/","Arts"
"http://www.accupass.com/go/plantsensexmas","【PS.植感花藝★期間限定諾貝松聖誕花圈/聖誕樹課程★】","2016-11-23(Wed) 13:30 ~ 2016-12-10(Sat) 16:00 (GMT+8)","台北場：台北市長春路133-2號3樓（松江南京站8號出口）; 植感花藝粉絲專頁","http://maps.google.com/maps?q=25.0329636,121.56542680000008&sll=25.0329636,121.56542680000008; https://www.facebook.com/plantsensefloraldesign/","Education"
"http://www.accupass.com/go/bboycity2016","G-Shock Taipei Bboy City World Final 2016 觀賽票預售","2016-11-21(Mon) 19:00 ~ 2016-12-17(Sat) 09:45 (GMT+8)","10452 臺北市中山區玉門街1號","http://maps.google.com/maps?q=25.069098259892705,121.52435027832644&sll=25.069098259892705,121.52435027832644","Sports"
"http://www.accupass.com/go/2016TTF","2016台北踢踏節－踢踏研習營","","","",""
