"url","name","time","location","location_link","cate","cate_link"
"http://www.accupass.com/go/20161130per","策略面談與激勵領導│績效管理實戰力","2016-11-30(Wed) 10:00 ~ 2016-11-30(Wed) 17:20 (GMT+8)","台北市光復南路102號3樓; 網址連結","http://maps.google.com/maps?q=25.0435228,121.55748960000004&sll=25.0435228,121.55748960000004; http://edm.managertoday.com.tw/20161130per","Business","http://www.accupass.com/search/r/0/11/0/0/1/0/00010101/99991231"
"http://www.accupass.com/go/FreeThePowerTogether","大學生就FREE！【2016 FREE+福利運動團】6大運動主題","2016-11-29(Tue) 19:30 ~ 2016-12-22(Thu) 21:00 (GMT+8)","台北市文山區指南路二段64號(政治大學); FREE+學生愛運動官方粉專","http://maps.google.com/maps?q=24.9873313,121.5761281&sll=24.9873313,121.5761281; https://www.facebook.com/freesplus.studentfitness/","Sports","http://www.accupass.com/search/r/0/3/0/0/1/0/00010101/99991231"
"http://www.accupass.com/go/uiuxcafe_sketch_1216","12月 Sketch Workshop+","2016-12-01(Thu) 00:00 ~ 2016-12-30(Fri) 11:45 (GMT+8)","台北市大安區建國南路一段175巷27號3F","http://maps.google.com/maps?q=25.0410469,121.53869099999996&sll=25.0410469,121.53869099999996","Education","http://www.accupass.com/search/r/0/7/0/0/1/0/00010101/99991231"
"http://www.accupass.com/event/register/1611070335171542114394","新商業革命時代你必須要懂的：電商觀念三堂課","2016-11-30(Wed) 18:45 ~ 2016-12-02(Fri) 22:00 (GMT+8)","台北市忠孝東路三段197號旁","http://maps.google.com/maps?q=25.0419166,121.53885530000002&sll=25.0419166,121.53885530000002","Education","http://www.accupass.com/search/r/0/7/0/0/1/0/00010101/99991231"
"http://www.accupass.com/event/register/1609290708181819427567","【神浩學院】11/28 熱門財稅課程 老闆必備的財務省錢技巧！","2016-11-28(Mon) 13:00 ~ 2016-11-28(Mon) 18:00 (GMT+8)","台北市松山區復興北路99號15樓(南京復興站七號出口－世界通商金融中心大樓，從七號出口出來後往左邊走，看到台灣大哥大往大馬路（復興北路），再往右轉約三分鐘即可抵達）; 網址連結","http://maps.google.com/maps?q=25.0541591,121.56386210000004&sll=25.0541591,121.56386210000004; http://ppt.cc/X7-p","Business","http://www.accupass.com/search/r/0/11/0/0/1/0/00010101/99991231"
"http://www.accupass.com/event/register/1610180547419235500380","尋找完美伴侶的系統化做法","2016-11-29(Tue) 18:30 ~ 2016-11-29(Tue) 21:30 (GMT+8)","台北市復興北路154號9樓【大人學台北教室】; 講座介紹","http://maps.google.com/maps?q=25.0531388,121.5439473&sll=25.0531388,121.5439473; http://www.projectup.net/blog/index.php?option=com_content&view=article&id=16263:2015083101&catid=26:jbspeach&Itemid=78","Education","http://www.accupass.com/search/r/0/7/0/0/1/0/00010101/99991231"
"http://www.accupass.com/go/gitstartuplab12","Girls in Tech Startup Lab #12 - 品牌電商來襲","2016-11-30(Wed) 19:00 ~ 2016-11-30(Wed) 21:30 (GMT+8)","台北市中正區北平東路30-2號4樓; 更多訊息將在臉書Event Page 發佈","http://maps.google.com/maps?q=25.0456714,121.52581229999998&sll=25.0456714,121.52581229999998; https://www.facebook.com/events/162297907528117/","Business","http://www.accupass.com/search/r/0/11/0/0/1/0/00010101/99991231"
"http://www.accupass.com/event/register/1610260316541758001616","【食力 創業食刻】11月場","2016-11-30(Wed) 19:30 ~ 2016-11-30(Wed) 21:30 (GMT+8)","台北市松江路101號4樓","http://maps.google.com/maps?q=25.0511507,121.53326070000004&sll=25.0511507,121.53326070000004","Education","http://www.accupass.com/search/r/0/7/0/0/1/0/00010101/99991231"
"http://www.accupass.com/go/iii2016bigdata","2016前瞻科技系列國際論壇【數據大未來 商機無所不在】","2016-11-30(Wed) 09:00 ~ 2016-12-01(Thu) 16:30 (GMT+8)","台北市中正區徐州路2號; 2016前瞻科技系列國際論壇","http://maps.google.com/maps?q=25.0409798,121.52076850000005&sll=25.0409798,121.52076850000005; http://goo.gl/z6YTLH","Technology","http://www.accupass.com/search/r/0/5/0/0/1/0/00010101/99991231"
"http://www.accupass.com/go/event059","【旅行Buffet】走!出國工作!系列主題5-『魔幻迪士尼工作體驗』","2016-11-29(Tue) 19:00 ~ 2016-11-29(Tue) 21:00 (GMT+8)","大可樂DuckLab(大可居青年旅館B1-台北市萬華區昆明街316號); https://www.facebook.com/duckstaytw/","http://maps.google.com/maps?q=25.035814,121.50327590000006&sll=25.035814,121.50327590000006; https://www.facebook.com/duckstaytw/","Travel","http://www.accupass.com/search/r/0/4/0/0/1/0/00010101/99991231"
