title,cate,lat,lng,addr,date
亞洲手創展Pop Up Asia 2016預售票,Arts,25.043683899999998,121.55935,11072台北市信義區光復南路133號,2016-11-17 02:00~2016-11-20 10:00
2016華文朗讀節─朗讀劇場 (台北),Arts,25.044149899999997,121.52944079999996,台北市中正區八德路一段1號,2016-09-29 03:00~2016-10-02 12:00
2016TWDW 台灣設計師週 現正熱烈搶購中,Arts,25.043683899999998,121.55935,台北市信義區光復南路133號,2016-09-23 02:00~2016-10-02 09:00
第八屆台北國際當代藝術博覽會Young Art Taipei 2016,Arts,25.0449723,121.52205400000004,台北市忠孝東路一段12號,2016-04-23 04:00~2016-04-24 12:00
最高榮譽小諾貝爾獎—國際安徒生插畫大獎50周年展,Arts,25.0346522,121.52182649999996,台北市中正區中山南路21號,2016-06-25 01:00~2016-09-18 10:00
21_21 DESIGN SIGHT 企劃展 in Taipei  單位展- This much That much How much?-,Arts,25.0436963,121.55934860000002,台北市信義區光復南路133號,2016-07-01 02:00~2016-09-16 10:00
Creative Playground 創意遊樂場,Arts,25.025312399999997,121.54410899999992,Impact Hub Taipei （台北市大安區和平東路二段265巷3號）,2016-01-09 02:00~2016-01-09 13:00
ART TAIPEI  2016 台北國際藝術博覽會,Arts,25.033259100000002,121.562324,台北市信義區信義路五段5號,2016-11-12 03:00~2016-11-15 10:00
2016大稻埕國際藝術節《1920變裝遊行》,Arts,25.049467899999996,121.51033499999994,捷運北門站,2016-10-15 06:00~2016-10-15 13:00
GOOD DESIGN AWARD 2016 獲獎作品講評會～回顧今年、展望未來～,Arts,25.043683899999998,121.55935,台北市110信義區光復南路133號2樓,2016-12-14 04:30~2016-12-14 06:30
《路邊野餐》電影放映 &amp; 導演講堂：金馬最佳新導演．畢贛 X 知名作家．張大春,Arts,25.044130300000003,121.52939949999997,台北市中正區八德路一段1號,2016-04-10 12:10~2016-04-10 14:40
【河北台北Hebei Taipei】電影放映講座,Arts,25.045359702672428,121.53112692305922,台北市中正區市民大道三段2號5F(CLAPPER THEATER 三創生活園區 5樓),2016-01-24 06:00~2016-01-24 09:00
十月份 90 mins 金盞花完整解析&amp;保養手作課程,Arts,25.0521075,121.55329140000003,台北市松山區南京東路四段75巷14弄2號2樓,2016-10-29 02:30~2016-10-29 04:00
《Ives’ Shorts大衛・艾夫斯 短酷Show》,Arts,25.1209235,121.4988462,台北市北投區北投一段九號三樓,2016-03-11 12:00~2016-03-27 14:30
被轟炸的台北美學,Arts,25.0403045,121.5244318,市長官邸藝文沙龍  台北市中正區徐州路46號,2016-09-01 11:00~2016-09-01 13:00
B.OOM Workshop,Arts,25.077734,121.54164630000002,台北市中山區明水路325號,2016-10-29 05:00~2016-10-30 09:00
Why Not ? White Night !,Arts,25.043565100000002,121.51416369999993,台北市中正區襄陽路25號,2016-10-01 14:00~2016-10-01 23:30
2016大稻埕國際藝術節《大稻埕街頭表演》,Arts,25.0546325,121.509949,台北市大同區迪化街一段32巷1號3樓 (思劇場),2016-10-01 06:30~2016-10-31 09:00
UniqueCare天然香氛保養品DIY手作體驗課(LL101),Arts,25.0573329,121.5198358,台北市赤峰街85號,2016-02-17 05:00~2016-02-17 07:30
百萬徵件，讓臺北文創成為你的堅強後盾—主題演講 X 徵件說明會,Arts,25.044545,121.56145740000001,110 臺北市信義區菸廠路88號6樓,2016-04-13 11:00~2016-04-13 13:00
&lt;木宇工作室&gt;手刻小木森林,Arts,25.0656062,121.51482060000001,台北市大同區昌吉街110巷3號,2016-03-30 00:00~2016-12-31 09:00
【稻事你來說】街屋辦桌劇場,Arts,25.0625217,121.50931719999994,台北市大同區迪化街一段329號,2016-10-29 11:00~2016-10-30 13:00
Motif Space【藝術行旅】解密波西米亞-浪漫、隨興與自由的世界,Arts,25.026102899999998,121.55024600000002,台北市大安區安和路二段211號3樓,2016-03-31 11:15~2016-03-31 13:15
紅貳柒劇團#6《我要下車，才怪》,Arts,25.0546325,121.509949,台北市迪化街一段32巷1號3樓,2016-08-06 06:30~2016-08-07 13:30
