title,cate,lat,lng,addr,date
2016 全球經濟趨勢論壇 - 陶冬 x 苑舉正,Business,25.012971,121.536381,台北市羅斯福路四段85號B1,2016-07-14 05:30~2016-07-14 09:00
2016 Meet Taipei 創新創業嘉年華【舞台節目門票】,Business,25.070327600000002,121.52175390000002,台北市中山區玉門街1號 (花博爭艷館),2016-11-17 01:30~2016-11-19 09:00
【品牌電商大時代】2016第三屆行動商務新經濟論壇,Business,25.040979800000002,121.52076850000003,台北市中正區徐州路2號,2016-01-21 04:30~2016-01-21 08:50
2016 Future Commerce未來商務展-√Vision Next 未來商務趨勢論壇,Business,25.044130300000003,121.52939949999997,100台北市中正區八德路一段1號 (華山文化創意產業園區ABC三連棟),2016-04-29 01:00~2016-04-29 08:20
2016亞太電子商務趨勢論壇,Business,25.033259100000002,121.562324,Day1：臺北市信義區信義路五段1號；Day2：臺北市信義區信義路五段5號,2016-10-05 01:00~2016-10-06 09:30
【9月8日第078場主題例會】“心是大的，事就小了“ 談女性創業與文化衝突 | 以熙國際創辦人 鄭宇庭 Madeleine,Business,25.0454815,121.53112729999998,台北市中正區市民大道三段2號11F,2016-09-08 11:00~2016-09-08 13:30
翻轉金融體系的強大技術BlockChain,Business,25.058475899999998,121.55487240000002,台北市松山區民生東路四段133號14樓 (創新廳),2016-01-29 01:00~2016-01-29 04:00
讓客戶永不拒絕你的秘密！,Business,25.045671399999996,121.52581229999998,台北市北平東路30號4樓,2016-10-02 11:00~2016-10-02 13:00
【IFDO x Start-up Fans No.6】第一次「泰國批貨創業＆網購電商經營」就上手！,Business,25.060988000000002,121.54249900000002,台北市民權東路三段60巷7號,2016-12-28 11:00~2016-12-28 13:00
BSI台灣 20週年論壇-提升組織反應力 共創永續新商機,Business,25.022271300000003,121.52581209999994,金融研訓院(菁業堂)-台北市中正區羅斯福路三段62號2樓,2016-04-11 05:00~2016-04-12 08:00
街角社企學,Business,25.02979,121.52861499999996,106台北市大安區金華街142號,2016-09-23 06:00~2016-09-23 13:30
掌握智慧商務新契機系列講座（一）： 零售數位化的新商機,Business,25.058475899999998,121.55487240000002,台北市松山區民生東路四段133號,2016-08-04 06:00~2016-08-04 08:00
2016華人幸福創新論壇：掌握需求 有感創新,Business,25.012971,121.536381,台大集思國際會議中心國際會議廳(台北市羅斯福路四段85號B1),2016-01-20 01:00~2016-01-20 08:50
快樂人職場講座【愛與承諾的企業—呂耀華】,Business,25.037241,121.516883,台北市中山南路20號B1 國家圖書館-詩篇餐廳 (中正紀念堂六號出口),2016-01-23 01:00~2016-01-23 04:00
【7月14日第070場主題例會】“從面板到麵粉”談跨界與創新 | 天來創新生活董事長 陳來助,Business,25.0454815,121.53112729999998,台北市中正區市民大道三段2號11F,2016-07-14 11:00~2016-07-14 13:30
企業併購規劃員證書班,Business,25.0417576,121.5497378,台北市大安區忠孝東路4段147巷1號5樓,2016-08-06 01:00~2016-08-13 08:00
霍夫曼的玩具箱 Mr.Hoffmann's Toy Box ── 人形玩偶交流販售會,Business,25.007963399999998,121.5369051,台北市文山區汀州路四段 88 號,2016-08-14 02:30~2016-08-14 07:30
FuckUp Nights Taipei 搞砸之夜 #8,Business,25.0717115,121.57657640000002,台北市內湖區瑞湖街111號,2016-10-28 10:45~2016-10-28 13:45
FuckUp Nights Taipei 搞砸之夜 #3,Business,25.025312399999997,121.54410899999992,台北市大安區和平東路二段265巷3號,2016-05-27 11:30~2016-05-27 14:00
【Workshop】前進大陸攻略！台青如何在大陸成功創業 | 陳炳宏,Business,25.078265899999998,121.57522889999996,內湖運動中心2樓(台北市內湖區洲子街12號2樓),2016-10-19 11:00~2016-10-19 13:30
第一場投資人論壇～ICT領域下一個投資風口,Business,25.0501908,121.5254324,濕地 (台北市中山區林森北路107巷10號),2016-06-24 01:30~2016-06-24 04:10
【4G創業通】文創 × 選物：採購生活美學,Business,25.024624399999997,121.54463740000006,台北市大安區和平東路二段134號-科學館B101,2016-06-15 11:00~2016-06-15 13:00
【MarTech翻轉傳統行銷】高峰論壇,Business,25.012971,121.536381,台北市大安區羅斯福路四段85號,2016-08-09 05:30~2016-08-09 08:30
招募系列-『讀心術面試選才法』實操培訓課程,Business,25.03324,121.51833,台北市中正區林森南路142號B1,2016-10-28 02:00~2016-10-28 10:00
"【Ustar.M-11】群眾募資與逆境向上的""香草與魚"" - 桃子良品CEO",Business,25.0466091,121.51311110000006,重慶南路一段10號六樓 (615教室),2016-01-05 11:00~2016-01-05 13:30
FuckUp Nights Taipei 搞砸之夜 #2,Business,25.025312399999997,121.54410899999992,台北市大安區和平東路二段265巷3號,2016-03-25 11:00~2016-03-25 13:00
【綜效講堂】入世研究 管理學者未來的生涯發展方向,Business,25.044130300000003,121.52939949999997,台北市中正區八德路一段1號2樓,2016-04-19 05:30~2016-04-19 08:40
2016 新興產業加速育成計畫－創業簡報實戰訓練營 PitchCamp+,Business,25.0454815,121.53112729999998,10058 台北市中正區市民大道三段2號,2016-10-30 05:00~2016-10-30 10:00
