title,cate,lat,lng,addr,date
城市音樂探索日．Barre &amp; Cycle 陪你一起旅行,Sports,25.0412324,121.55201369999996,台北市忠孝東路四段200號13樓,2016-03-18 11:00~2016-12-30 15:00
台酒生技-COLLEGE HIGH VOL.12 STAGE2 舞感個人賽,Sports,25.035675,121.567907,110台北市信義區松壽路22號,2016-10-09 02:00~2016-10-10 13:00
怪獸訓練-自由重量基礎班【男女混合班】,Sports,25.032963600000002,121.56542680000008,台北市中正區汀州路三段160巷底,2016-08-22 07:00~2016-08-25 13:00
GIGABYTE電競天使女子聯賽,Sports,25.049239800000002,121.55763690000003,台北市松山區光復北路28號,2016-07-09 16:00~2016-08-28 16:00
easyoga。秋日瑜伽聚 //整個城市都是我們的瑜伽館/,Sports,25.039550199999997,121.56026509999992,台北市仁愛路4段505號,2016-10-22 05:00~2016-10-22 08:30
怪獸訓練-自由重量訓練班,Sports,25.032963600000002,121.56542680000008,台北市中正區汀州路三段160巷底,2016-10-03 07:00~2016-10-05 12:00
HRC舞蹈生活館票卡線上購,Sports,25.041614000000003,121.55531999999994,忠孝本館：台北市大安區忠孝東路四段299號B1,2016-04-30 16:00~2016-06-30 15:00
當大數據遇上體適能：用創新科技精準管理學員運動,Sports,25.0580206,121.61271999999997,台北市南港區三重路19~11號E棟4樓 (南港軟體園區一期),2016-10-01 01:30~2016-10-01 04:00
2016 溜溜球推廣賽 FINGERSP.IN YoYo Promo Contest,Sports,25.0390103,121.52201330000004,台北市中正區仁愛路一段17號10樓,2016-04-02 05:00~2016-04-02 14:00
【初跑訓練-全方位肌力訓練 x BLACKROLL®訓練】7/9 台北場,Sports,25.0660098,121.51565749999996,台北市大同區昌吉街55號2樓207教室,2016-07-09 05:30~2016-07-09 09:30
2016 Creating Your Fitness 健身工作室交流大會,Sports,25.025263600000002,121.53824989999998,大安區和平東路二段46巷11號,2016-03-27 01:00~2016-03-27 09:10
怪獸訓練分享課程-健康之禮，無價！,Sports,25.032963600000002,121.56542680000008,台北市中正區汀州路三段160巷底,2016-11-01 01:00~2017-02-09 13:00
台酒生技-COLLEGE HIGH VOL.12 STAGE1 猛男美女賽,Sports,25.035675,121.567907,110台北市信義區松壽路22號,2016-10-09 02:00~2016-10-10 13:00
【體驗BLACKROLL®滾筒放鬆課程】3/2台北場,Sports,25.0660098,121.51565749999996,台北市大同區昌吉街55號2樓207教室,2016-03-02 11:30~2016-03-02 13:00
怪獸夜談NO.03  以身練心-談運動心理學,Sports,25.032963600000002,121.56542680000008,台北市中正區汀州路三段160巷底,2016-07-01 11:00~2016-07-01 13:00
台酒生技-COLLEGE HIGH VOL.12 STAGE3 經典全國制霸團體賽,Sports,25.0259514,121.56126709999998,臺北市信義區吳興街250號,2016-12-17 03:00~2016-12-18 10:00
2016歐洲國家盃足球賽 直播派對,Sports,25.0326783,121.56299749999994,台北市信義路5段16-1號,2016-06-11 13:00~2016-06-11 15:30
2016 Taipei Yoga Life 心動的節奏_Open event (免費體驗),Sports,25.045023999999998,121.52785399999992,華山1914文創園區 (中正區八德路一段一號),2016-05-14 01:00~2016-05-15 12:00
