address,category,date,title
台北市中正區中山南路11號,Gathering,2016/12/17 13:00,2016 台灣鍵盤趴
台北市敦化南路2段216號,Gathering,2016/12/17 14:00,openSUSE Leap 42.2 Release Party + Pizza time
台北市信義區松壽路12號,Gathering,2016/12/21 23:30,慈善喝酒聖誕晚會
台北市萬華區萬大路190號,Gathering,2016/12/22 19:00,MozTW + Wikimedians.tw 聯合社群冬至火鍋 Winter Hotpot Party 2016
台北市長春路137巷3號,Gathering,2016/12/30 18:30,獨立遊戲開發者分享會161230
台北市 中山區 中山北路 2段 185號,Gathering,2016/12/23 09:30,中學自學生們！我們來去玩生存遊戲吧！
台北市中正區延平南路12號,Gathering,2016/12/22 19:30,C.C. Agile#52 - Code Smells and Refactoring
台北市大安區復興南路一段293號,Gathering,2016/12/26 19:00,Raspberry Pi社群聚會 #17
台北市光復南路102號,Gathering,2016/12/08 19:00,Cocoaheads Taipei 2016 十一月份聚會 
台北市大安區和平東路一段 129 號,Gathering,2016/12/04 19:30,SITCON 臺北定期聚 12/4 暨投稿者小聚
台北市中正區八德路一段1號,Gathering,2016/12/09 19:00,柯震東x再見瓦城粉絲絕不心碎電影包場
台北市台北市信義區崇德街70號,Gathering,2016/12/11 14:00,Mysbox TRPG推廣活動
台北市衡陽路 7 號,Gathering,2016/12/13 19:00,第 0001 回 Ruby 默默會
台北市長春路137巷3號,Gathering,2016/11/27 13:30,獨立遊戲開發者分享會161127
台北市大同區承德路三段232號,Gathering,2016/11/27 14:00,【好哲凳沙龍】有效利他主義教你如何聰明行善
台北市忠孝東路三段248巷65號,Gathering,2016/11/26 23:50,DevOps Taiwan Meetup #3 - 配置管理工具大亂鬥 (CM 大亂鬥)
台北市信義區忠孝東路五段68號,Gathering,2016/11/22 19:00,Chatbot Developers Taiwan Meetup #1
台北市中正區延平南路12號,Gathering,2016/11/24 19:30,C.C. Agile#51 - 翻硬幣遊戲
台北市信義區崇德街70號,Gathering,2016/11/26 13:00,2016台北TRPG推廣會 十一月場
台北市敦化南路二段216號,Gathering,2016/11/26 09:30,SEO工具實戰應用 - Google Search Console 完全剖析
台北市光復南路102號,Gathering,2016/11/10 19:00,Cocoaheads Taipei 2016 十一月份聚會 
臺北市花博公園 爭豔館 / 10452 臺北市中山區玉門街1號,Gathering,2016/11/30 23:59,《BYOC身分審核》報名專區
台北市大安區復興南路一段293號,Gathering,2016/11/15 19:00,Raspberry Pi社群聚會 #16
台北市忠孝西路一段41號,Gathering,2016/10/29 13:30,拍出爆品不求人！商品拍攝特訓班
台北市信義區崇德街70號,Gathering,2016/10/29 13:00,2016台北TRPG推廣會 十月場
台北市 台大集思會議中心 / 台北市羅斯福路4段85號,Gathering,2016/10/29 13:30,第一屆 NAS使用者年會 (2016/台北)
台北市敦化南路二段218號,Gathering,2016/10/08 14:00,10/8 固定小松
台北市光復南路102號,Gathering,2016/10/13 19:00,Cocoaheads Taipei 2016 十月份聚會 
台北市中正區延平南路12號,Gathering,2016/10/20 19:30,C.C. Agile#50 - 站在十字路口，今天你選哪一條？
台北市松德路65號,Gathering,2016/10/21 19:00,[秋季限定] 路老闆日本旅遊不私藏講座 第二場
台北市敦化南路二段216號,Gathering,2016/10/06 19:00,如何寫出百萬人傳閱的文字
台北市中正區八德路一段 94 號,Gathering,2016/10/07 18:30,測試測試
台北市敦化南路二段218號,Gathering,2016/10/05 17:00,10/2 交接松
台北市中山區中山北路三段40號,Gathering,2016/10/31 18:00,105上資訊創意研究社期初大會
台北市忠孝西路一段41號,Gathering,2016/09/24 13:30,拍出爆品不求人！商品拍攝特訓班
台北市中正區濟南路一段1號,Gathering,2016/11/05 10:20,【強・制・更・新】史上第一次！沃草開放國會松
台北市光復南路102號,Gathering,2016/09/08 19:15,Cocoaheads Taipei 2016 九月份聚會 
台北市中正區延平南路12號,Gathering,2016/09/24 15:30,C.C. Agile#49 - 敏捷中的榴蓮刺
台北市大同區承德路三段232號,Gathering,2016/08/28 14:00,【好哲凳沙龍】故事與哲學
台北市中山區新生北路三段52號,Gathering,2016/08/27 13:00,2016台北TRPG推廣會 八月場
台北市中正區延平南路12號,Gathering,2016/08/25 19:30,C.C. Agile#48 - 組織導入敏捷的困境、機會、挑戰與疑惑（Open Space）
台北市光復南路102號,Gathering,2016/08/11 19:00,Cocoaheads Taipei 2016 八月份聚會 
台北市大同區長安西路150號,Gathering,2016/10/13 00:00,DevOps Taiwan Meetup #2 - 思維引導、持續改善，引發團隊改變新契機
臺北市士林區士商路189 號,Gathering,2016/08/15 10:00,兩岸 Scratch 社群交流聚會
台北市中正區八德路一段 94 號,Gathering,2016/08/19 16:30,YSITD 第二次線下聚
台北市大安區復興南路一段293號,Gathering,2016/07/27 19:00,Raspberry Pi社群聚會 #15
台北市中正區延平南路12號,Gathering,2016/07/21 21:00,C.C. Agile#47 - 這一夜我們談軟體開發之給我一點空間
台北市松山區敦化南路一段1號,Gathering,2016/07/26 13:30,2016減脂夏令營
台北市大安區光復南路102號7樓 (國父紀念館站1號,Gathering,2016/07/21 19:30,Google Firebase Analytics 初探
台北市長春路137巷3號,Gathering,2016/08/07 09:30,獨立遊戲開發者分享會160807
台北市大同區承德路三段232號,Gathering,2016/07/16 15:30,要命！課本裡的那些哲學家怎麼教？——哲學家的移動城堡免費體驗課(台北場)
台北市內湖區瑞光路298號,Gathering,2016/07/07 19:00,[健康講堂] 當身體遇見潛意識
台北市中正區北平東路 30-2 號,Gathering,2016/07/09 13:30,開放資料研究專案社群座談會
台北市光復南路102號,Gathering,2016/07/14 19:00,Cocoaheads Taipei 2016 七月份聚會 
台北市大同區承德路三段232號,Gathering,2016/07/17 14:00,【好哲凳特別場】想去法國念哲學？沙特的學妹告訴你
台北市內湖區瑞光路408號,Gathering,2016/07/09 10:00,Cat System Workshop #7 Skymizer intelligent compiler
台北市忠孝東路三段 248 巷 65 號,Gathering,2016/06/21 19:30,Test Corner  #4
台北市大安區復興南路一段293號,Gathering,2016/06/23 19:00,Raspberry Pi社群聚會 #14
台北市大同區承德路三段232號,Gathering,2016/06/26 14:00,【好哲凳沙龍】哲學論文嘴砲王——一句話講完你的哲學論文
台北市中山區新生北路三段52號,Gathering,2016/06/25 13:00,2016台北TRPG推廣會 六月場
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 14:10,PyCon TW 2016 Tutorial - Creating python app with MySQL Router and MySQL Group Replication
台北市信義區光復南路 133 號,Gathering,2016/05/30 19:30,【現代消費生活神殿】菊元百貨的建築空間特色
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Regular] / 一般票活動報名
台北市長春路137巷3號,Gathering,2016/05/29 14:00,獨立遊戲開發者分享會160529
台北市大同區承德路三段232號,Gathering,2016/05/29 14:00,【好哲凳沙龍】女總統都上台了，女哲學家在哪裡？
台北市大安區羅斯福路四段1號,Gathering,2016/05/29 18:30,SITCON × NTUOSC 臺北定期聚 #29
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 08:20,PyCon Taiwan 2016 Registration [Discount] / 個人優惠票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Invitation] / 邀請票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/05 18:00,PyCon Taiwan 2016 Registration [Student] / 學生優惠票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Speaker] / 講者票活動報名
台北市文山區指南路二段64號,Gathering,2016/06/06 18:00,PyCon Taiwan 2016 PyDay
台北市信義區光復南路 133 號,Gathering,2016/06/13 14:00,【書沙龍：文學與音樂vol.3】寂寞音樂考
台北市信義區光復南路 133 號,Gathering,2016/09/30 20:30,【書沙龍：設計與閱讀vol.3】愛不釋手的舊書
