address,category,date,title
台北市信義區松山路132號,Uncategorized,2016/12/27 21:00,F2E&RGBA 設計 Meetup 十二月號
台北市民權西路20號,Uncategorized,2016/12/18 14:00,有美家初行者NO.11
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/17 17:00,Summer Hsu＋小毛/ LUYI -唱歌的人
台北市中山區南京東路三段68號,Uncategorized,2016/12/17 14:00,免費講座★泰國與英國投資趨勢★海外房地產聯合說明會★英國☆日本★菲律賓☆馬來西亞★泰國☆柬埔寨★
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/17 08:30,河岸過冬16週年活動搖滾篇：王子MEN樂團/前進樂團/凍頂樂團
台北市中正區衡陽路 7 號,Uncategorized,2016/12/29 09:00,1228機器學習讀書會 - RNN 手解算式 Part 2 (網路修正方法)
台北市金華街199巷5號,Uncategorized,2016/12/16 09:00,TAECT2016 - ECT for Open Education 台灣教育傳播科技學會2016國際研討會
台北市松山區復興北路15號,Uncategorized,2016/12/17 14:00,書到「用」時方恨少 VS 書到「抄」時方恨少：設計師的葵花寶典 - 溝通前瞻思維
台北市信義區松仁路3號,Uncategorized,2016/12/16 19:00,2016世界公視大展精選(台北場) ─【開幕單元：資訊攻防戰】
台北市信義區松仁路3號,Uncategorized,2016/12/17 14:00,2016世界公視大展精選(台北場) ─ 【第二單元：前線拼圖】
台北市信義區松仁路3號,Uncategorized,2016/12/18 14:00,2016世界公視大展精選(台北場) ─ 【第四單元：非關男女】
台北市南港區重陽路453號,Uncategorized,2016/12/18 09:00,【年終大優惠】你可以選擇富有—啟動你的現金流
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/30 10:00,救救我的狗：瘋狗 Mad Dog/急診室 Emergency
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/17 21:00,演出取消.....通告呂薔Amuyi 2016歌手之夜
台北市信義區松仁路3號,Uncategorized,2016/12/17 19:00,2016世界公視大展精選(台北場) ─ 【第三單元：獨立場次】
台北市民權西路20號,Uncategorized,2016/12/18 16:40,有美家-神奇的經絡刮痧NO.90
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/18 21:00,請把我們都灌醉：舞人舞屍 Ｘ 漂流出口
台北市信義區松壽路22號,Uncategorized,2016/12/22 18:00,The North★大學聯合聖誕派對
台北市松山區民生東路四段133號) 102.103會議室 / 台北市松山區民生東路四段133號,Uncategorized,2016/12/20 10:00,WebApp程式開發工作坊-台北場
